signals-interval	convergence-count
100	7999.5
200	8826.5
300	9678.0
400	9805.5
500	10345.0
600	10770.0
700	11141.0
800	11921.5
900	12321.0
1000	13123.0
1100	13633.0
1200	14014.0
1300	14915.0
1400	15237.5
1500	15691.5
1600	16193.5
1700	17203.5
1800	17147.5
1900	17911.0
2000	18292.5
2100	18948.0
2200	19318.5
2300	20178.5
2400	20753.5
2500	21445.0
2600	22224.5
2700	22956.0
2800	23740.0
2900	24420.5
3000	25126.5
3100	26020.0
